0,0,0,0,0,27,27,39,63,64,87,76,77,39,15
90,139,79,140,15,0,27,39,75,76,77,39,39,15,0
68,15,15,27,15,0,0,15,15,27,39,39,27,57,58
80,115,0,15,131,0,0,48,49,50,15,15,15,69,70
79,79,79,79,80,115,48,97,61,62,0,0,0,81,82
0,0,0,0,0,48,97,61,61,96,49,50,0,0,0
0,0,0,0,0,60,61,61,61,61,61,96,49,49,49
0,0,0,0,0,72,73,85,61,61,61,61,61,61,61
107,0,0,0,0,0,0,72,73,73,73,85,61,61,61
58,59,0,41,6,6,19,3,0,165,167,72,73,85,61
70,71,119,3,12,37,28,1,16,215,57,58,59,72,73
70,71,95,4,24,37,29,6,43,0,69,70,105,58,58
70,71,107,0,36,26,28,3,57,58,106,70,70,70,70
70,105,58,59,119,37,28,0,69,70,70,70,70,70,70
70,70,70,71,119,0,28,0,69,70,70,70,70,70,70
